,Unnamed: 0,title,view,like,unlike,date,token
1093,1093,기리보이  - ZOA Feat 한해 세로라이브 Giriboy - ZOA Feat Hanhae,403036.0,4000.0,34.0,2016. 5. 31.,"['세로', '라이브']"
1094,1094,송유빈 - 노메이크업자이언티 세로라이브  Song Yu Vin - No make up ZionT,179439.0,4000.0,54.0,2016. 5. 30.,"['이언', '라이브', '송유', '메이크업', '세로']"
1095,1095,제시카 - Fly 세로라이브 Jessica - Fly,1085165.0,30000.0,447.0,2016. 5. 28.,"['세로', '라이브', '제시']"
1096,1096,여보세요 어반자카파 편,8914.0,58.0,2.0,2016. 5. 28.,"['보세', '반자', '카파']"
1097,1097,어반자카파 - 널 사랑하지 않아 세로라이브 Urban Zakapa – I Don't Love You,1936914.0,10000.0,204.0,2016. 5. 27.,"['반자', '카파', '라이브', '사랑', '세로']"
1098,1098,노래방라이브 백아연 - 하루 끝 아이유 Cover,398410.0,3000.0,77.0,2016. 5. 27.,"['라이브', '하루', '노래방', '백아', '아이']"
1099,1099,세로라이브 박경 - 자격지심 feat여자친구 은하,7334911.0,80000.0,1000.0,2016. 5. 26.,"['친구', '라이브', '자격지심', '은하', '세로', '여자']"
1100,1100,백아연 - 쏘쏘 세로라이브 Baek A Yeon - So-So,870564.0,6000.0,93.0,2016. 5. 25.,"['세로', '라이브', '백아']"
1101,1101,새벽이 말했다10 크러쉬 - 우아해,11023.0,138.0,1.0,2016. 5. 22.,"['새벽', '아해']"
1102,1102,캘리가사집 제시카 - FLY,8788.0,176.0,1.0,2016. 5. 22.,"['제시', '사집']"
1103,1103,BEST 5 송유빈편 남자가 불러도 좋은 여자노래,183452.0,2000.0,38.0,2016. 5. 20.,"['송유', '남자', '노래', '여자']"
1104,1104,큐브라이브 악동뮤지션 - RE-BYE,1892679.0,40000.0,139.0,2016. 5. 19.,"['라이브', '큐브', '뮤지션', '악동']"
1105,1105,산이 - 마치 비행기 세로라이브 San E - Like An Airplane,109560.0,964.0,20.0,2016. 5. 18.,"['세로', '비행기', '라이브']"
1106,1106,이슬라이브 백지영 - 새벽 가로수길,1459461.0,7000.0,124.0,2016. 5. 17.,"['이슬', '백지', '라이브', '가로수', '새벽']"
1107,1107,캘리가사집 곽진언 - 나랑 갈래,4331.0,67.0,2.0,2016. 5. 14.,"['진언', '갈래', '사집']"
1108,1108,캘리가사집 크러쉬 - 우아해 woo ah,6396.0,95.0,0.0,2016. 5. 13.,"['아해', '사집']"
