,token,view,count,view_count
832,일상,1230449.0,1,1230449.0
833,일의,72899.0,2,36449.5
834,일주일,28474.0,1,28474.0
835,일훈,407750.0,1,407750.0
836,읽기,44421.0,1,44421.0
837,임팩트,59177.0,2,29588.5
838,입김,107894.0,1,107894.0
839,입시,750332.0,3,250110.66666666666
840,있음,100724.0,1,100724.0
841,자격지심,7353591.0,2,3676795.5
842,자극,13092.0,1,13092.0
843,자급자족,553564.0,2,276782.0
844,자기,167461.0,2,83730.5
845,자랑,169979.0,1,169979.0
846,자스민,214166.0,1,214166.0
847,자신,13081.0,1,13081.0
848,자아,165534.0,1,165534.0
849,자장가,1794245.0,10,179424.5
850,자취방,27507.0,1,27507.0
851,자칭,9727.0,1,9727.0
852,자켓,123629.0,1,123629.0
853,작곡,925478.0,2,462739.0
854,작곡가,30154.0,1,30154.0
855,작사,901798.0,1,901798.0
856,작업실,179885.0,1,179885.0
857,잔나비,3883781.0,4,970945.25
858,잔치,1183186.0,3,394395.3333333333
859,장갑차,720854.0,1,720854.0
860,장기,1701306.0,3,567102.0
861,장면,35715.0,1,35715.0
862,장문,364793.0,1,364793.0
863,장성,96319.0,1,96319.0
864,장원,341922.0,1,341922.0
865,장의,793499.0,1,793499.0
866,장인,9727.0,1,9727.0
867,장토,878374.0,1,878374.0
868,재가,966715.0,1,966715.0
869,재미,36603.0,1,36603.0
870,재범,323329.0,2,161664.5
871,재생,116123.0,3,38707.666666666664
872,재석,511129.0,2,255564.5
873,재인,94870.0,1,94870.0
874,재정,82637.0,1,82637.0
875,재중,247345.0,1,247345.0
876,재즈,18141.0,2,9070.5
877,저격,8915.0,1,8915.0
878,저세상,1716337.0,3,572112.3333333334
879,적응,116595.0,1,116595.0
880,전격,588063.0,2,294031.5
881,전국민,10876.0,1,10876.0
882,전람회,1621683.0,1,1621683.0
883,전력,1651259.0,1,1651259.0
884,전문,1203644.0,1,1203644.0
885,전설,446032.0,1,446032.0
886,전소,3590996.0,6,598499.3333333334
887,전원,23918.0,1,23918.0
888,전쟁,38763.0,1,38763.0
889,전지,22140.0,1,22140.0
890,전화,240451.0,2,120225.5
891,전환,12507.0,1,12507.0
892,점프,356325.0,1,356325.0
893,정류장,2805629.0,1,2805629.0
894,정리,2111767.0,1,2111767.0
