,Unnamed: 0,title,view,like,unlike,date,token
457,457,SFW 남자들이 환장한다는 눈웃음을 가진 모델 송해나 포토타임,9006.0,40.0,2.0,2016. 4. 22.,"['눈웃음', '모델', '환장', '포토', '남자', '타임']"
458,458,SFW 참스CHARMS 패션쇼 2016 S/S,2752.0,23.0,0.0,2016. 4. 22.,['패션쇼']
459,459,SFW 대세모델 정호연의 화끈한 팬서비스 포토타임,12588.0,116.0,0.0,2016. 4. 22.,"['정호', '대세', '모델', '포토', '연의', '서비스', '타임']"
460,460,취향저격 변우석X지이수 두사람의 이상형은,51093.0,325.0,8.0,2016. 4. 21.,"['이수', '사람', '저격', '취향', '이상형']"
461,461,취향저격 김기범X여연희 연애에 관한 11가지 질문,18579.0,79.0,1.0,2016. 4. 21.,"['김기범', '질문', '연희', '저격', '연애', '취향']"
462,462,SFW X style101 2016 S/S 서울패션위크 스트릿룩,1294.0,10.0,0.0,2016. 4. 21.,"['서울', '패션', '위크']"
463,463,취향저격 신용국X배윤영 둘의 음식 케미는,2118.0,16.0,1.0,2016. 4. 21.,"['신용', '취향', '저격', '음식']"
464,464,SFW 포토타임 수줍은데 할건 다 해주는 남친느낌의 모델 방태은,18645.0,115.0,1.0,2016. 4. 21.,"['모델', '포토', '느낌', '타임']"
465,465,SFW 작정하고 제대로 팬서비스 중인 모델 조민호,5623.0,41.0,0.0,2016. 4. 20.,"['조민', '작정', '모델', '중인', '서비스']"
466,466,SFW 세로패션쇼 JKOO,1298.0,8.0,0.0,2016. 4. 20.,"['패션쇼', '세로']"
467,467,SFW 셀카 백장 찍어서 한 장 건진 비쥬얼쩌는 모델 이철우 주우재,8283.0,57.0,1.0,2016. 4. 20.,"['모델', '비쥬얼', '주우', '백장']"
468,468,취향저격 장기용X이진이 첫만남부터 썸인가요,47368.0,313.0,14.0,2016. 4. 20.,"['만남', '장기', '저격', '이진', '취향']"
469,469,SFW 안승준의 팬서비스 쩌는 포토타임,7706.0,48.0,1.0,2016. 4. 20.,"['포토', '준의', '타임', '서비스']"
470,470,스무살의 요리 셰프 김소희의 오뎅핫도그 만들기,9754.0,84.0,6.0,2016. 4. 20.,"['요리', '살의', '핫도그', '소희', '오뎅']"
471,471,SFW 이번 패션위크에서 역대급 사고낸 한상혁 디자이너ㅋㅋ,85257.0,240.0,10.0,2016. 4. 20.,"['사고', '이번', '한상혁', '위크', '패션', '디자이너', '역대']"
472,472,SFW 포스 쩌는 장윤주의 모델워킹 최신판,1364845.0,4000.0,123.0,2016. 4. 19.,"['포스', '모델', '주의', '워킹', '최신']"
473,473,SFW 문수권MUNSOO KWON 패션쇼_남자모델들이 떼로 몰려온다,1951.0,15.0,0.0,2016. 4. 19.,"['문수', '모델', '패션쇼', '남자']"
474,474,취향저격 박형섭X이호정 솔직남녀 사심 인터뷰,5126.0,27.0,0.0,2016. 4. 19.,"['호정', '인터뷰', '남녀', '저격', '취향']"
475,475,SFW 왠지 친근돋는 디자이너들의 피날레인사,1811.0,10.0,1.0,2016. 4. 19.,"['디자이너', '인사', '피날레']"
476,476,구라래쇼 6화 - 고Jㅏ새끼,85512.0,442.0,25.0,2016. 4. 11.,"['새끼', '구라']"
477,477,구라래쇼 4화 - 기모찌 일본어,58189.0,302.0,5.0,2016. 4. 11.,"['일본어', '기모', '구라']"
478,478,구라래쇼 5화 - 구라시키 사이코,58757.0,370.0,6.0,2016. 4. 11.,['구라']
479,479,남자의 인생템 - 한때 명품 시계 차던 허세왕 이상민의 현재,138802.0,289.0,16.0,2016. 3. 31.,"['인생', '시계', '허세', '민의', '명품', '이상', '한때', '남자']"
480,480,남자의 인생템 4화 - 요즘 남성들 사이에서 유행하는 시계는,1183052.0,2000.0,386.0,2016. 3. 31.,"['인생', '유행', '시계', '요즘', '남성', '사이', '남자']"
481,481,패션필름 2016 S/S 로우클래식 Style Film,3856.0,26.0,0.0,2016. 3. 30.,"['필름', '클래식', '패션']"
482,482,스타일101 실제 남자들이 말하는  남자들 환장하는 여친룩 모음,4633964.0,10000.0,5000.0,2016. 3. 30.,"['모음', '남자', '스타일', '환장', '실제']"
