,token,like,count,like_count
200,라이브,6000.0,1,6000.0
201,라이크,84.0,1,84.0
202,라이트,749.0,1,749.0
203,라이프,399.0,1,399.0
204,라즈베리,496.0,1,496.0
205,랜덤,6000.0,1,6000.0
206,러너,10000.0,1,10000.0
207,런던,240.0,1,240.0
209,레스토랑,10000.0,1,10000.0
211,레인,18.0,1,18.0
212,로그,662.0,1,662.0
213,로망,126.0,1,126.0
214,로봇,783.0,4,195.75
215,로이,859.0,1,859.0
216,로이스,1910.0,4,477.5
217,로프,4000.0,1,4000.0
218,루머,9000.0,1,9000.0
219,루시,496.0,1,496.0
220,리딩,580.0,1,580.0
221,리본,80.0,1,80.0
222,리뷰,149.0,1,149.0
223,리스트,4326.0,2,2163.0
224,리얼,44619.0,19,2348.3684210526317
225,리코,135.0,1,135.0
226,리허설,4.0,1,4.0
227,릴레이,102137.0,33,3095.060606060606
228,마무,8000.0,1,8000.0
229,마비,70.0,1,70.0
230,마사지,171.0,1,171.0
231,마음,15000.0,2,7500.0
232,마이,13580.0,3,4526.666666666667
233,마지막,11427.0,3,3809.0
234,마트,521.0,1,521.0
235,막걸리,214.0,1,214.0
236,만난,2000.0,1,2000.0
237,만남,1386.0,3,462.0
238,만두,269.0,1,269.0
239,만월,50000.0,1,50000.0
240,말로,163.0,1,163.0
241,말차,417.0,1,417.0
242,말하기,29.0,1,29.0
243,맘마,1380.0,2,690.0
244,매력적,64.0,1,64.0
245,매운맛,180.0,1,180.0
246,매일,243.0,1,243.0
247,머니,55.0,1,55.0
248,머드,171.0,1,171.0
249,머리,18496.0,5,3699.2
251,메세지,266.0,1,266.0
252,메이크업,38168.0,6,6361.333333333333
253,메이트,9302.0,10,930.2
254,멤버,23216.0,7,3316.5714285714284
255,며느리,9000.0,1,9000.0
256,명품,352.0,2,176.0
257,모닝,897.0,1,897.0
258,모닝콜,47897.0,6,7982.833333333333
259,모델,83699.0,39,2146.128205128205
260,모로코,147.0,1,147.0
261,모비딕,361.0,1,361.0
262,모습,101156.0,3,33718.666666666664
263,모음,10781.0,11,980.0909090909091
264,모지,1000.0,1,1000.0
265,모해,8000.0,2,4000.0
266,무비,5280.0,2,2640.0
267,무언가,76.0,1,76.0
268,문고,1534.0,4,383.5
269,문수,15.0,1,15.0
270,문화,1000.0,1,1000.0
271,뮤직비디오,5000.0,1,5000.0
273,미니,227.0,2,113.5
274,미니멀,356.0,1,356.0
275,미소,948.0,1,948.0
276,미식,1240.0,2,620.0
277,미아,1380.0,2,690.0
278,미역국,475.0,2,237.5
279,미용실,15809.0,4,3952.25
280,민경,6000.0,1,6000.0
282,민의,289.0,1,289.0
283,민지,87.0,1,87.0
284,밀착,10000.0,1,10000.0
285,바깥,311.0,1,311.0
286,바다,25000.0,3,8333.333333333334
287,바람둥이,1000.0,1,1000.0
288,박보,783.0,1,783.0
289,박스,9300.0,8,1162.5
290,박원,1000.0,1,1000.0
291,박재,809.0,1,809.0
292,박제,206.0,1,206.0
293,반디,6000.0,2,3000.0
294,반응,10000.0,1,10000.0
295,반자,972.0,1,972.0
296,반지,302.0,1,302.0
297,반차,1773.0,2,886.5
298,반팔,357.0,1,357.0
299,발견,10000.0,1,10000.0
300,발전,5000.0,1,5000.0
301,발표,57.0,1,57.0
302,밤새,7000.0,1,7000.0
303,밥상,948.0,1,948.0
304,방구석,126.0,1,126.0
305,방귀,1000.0,1,1000.0
306,방문,3000.0,1,3000.0
307,방법,1279.0,4,319.75
308,방주,953.0,1,953.0
309,방탄,10000.0,1,10000.0
310,배송,189.0,1,189.0
311,배우,17687.0,5,3537.4
312,백장,57.0,1,57.0
313,백종,6000.0,1,6000.0
314,백지,4000.0,1,4000.0
316,백호,10000.0,1,10000.0
317,버섯,215.0,1,215.0
318,버스,19749.0,4,4937.25
319,버전,1000.0,1,1000.0
320,버킷,326.0,1,326.0
322,베스트,219.0,1,219.0
323,베이,1775.0,3,591.6666666666666
324,벤틀리,948.0,1,948.0
326,변신,2000.0,2,1000.0
327,변천사,5000.0,2,2500.0
328,변화,14000.0,2,7000.0
329,보감,199.0,1,199.0
330,보물섬,20000.0,1,20000.0
331,보안,60.0,1,60.0
332,보어,241.0,1,241.0
333,보우,18.0,1,18.0
334,보이,102185.0,34,3005.4411764705883
335,보이스,145.0,1,145.0
336,보타이,20.0,1,20.0
337,본격,2000.0,1,2000.0
338,본적,772.0,1,772.0
339,본체,8000.0,1,8000.0
340,부부,356.0,1,356.0
341,부산,472.0,2,236.0
342,부석,20000.0,1,20000.0
343,부스,2204.0,3,734.6666666666666
344,부자,13.0,1,13.0
345,부탁,48385.0,8,6048.125
346,분만,1000.0,1,1000.0
347,분장,1000.0,1,1000.0
348,불가,49837.0,19,2623.0
349,불만,3000.0,1,3000.0
350,뷰티,1208.0,7,172.57142857142858
351,브라자,17.0,1,17.0
352,브랜드,143.0,1,143.0
353,브이,844.0,2,422.0
354,블랙,2055.0,2,1027.5
355,블루,4000.0,1,4000.0
356,비결,280.0,1,280.0
357,비밀,10404.0,3,3468.0
358,비아,313.0,1,313.0
359,비에이,321.0,1,321.0
360,비주얼,9000.0,1,9000.0
361,비쥬얼,57.0,1,57.0
362,비참,10000.0,1,10000.0
363,비타민,6000.0,1,6000.0
364,빌라,171.0,1,171.0
365,빙탄,897.0,1,897.0
366,빚쟁이,13.0,1,13.0
367,빨강,496.0,1,496.0
368,뼈대,1000.0,1,1000.0
369,사고,388.0,3,129.33333333333334
370,사내,8000.0,1,8000.0
371,사람,104186.0,13,8014.307692307692
372,사랑,53429.0,10,5342.9
373,사복,4000.0,1,4000.0
374,사실,179.0,1,179.0
375,사심,143.0,1,143.0
376,사연,140570.0,6,23428.333333333332
377,사용법,912.0,2,456.0
378,사이,13176.0,6,2196.0
379,사인,1000.0,1,1000.0
381,사정,698.0,1,698.0
382,사제,10000.0,1,10000.0
383,사진,12550.0,3,4183.333333333333
384,사진관,40000.0,3,13333.333333333334
385,사친,17432.0,7,2490.285714285714
386,사탕,7.0,1,7.0
387,삭제,1000.0,1,1000.0
388,산타,672.0,1,672.0
389,살벌,8580.0,2,4290.0
390,살의,84.0,1,84.0
391,살이,662.0,1,662.0
392,살인,10000.0,1,10000.0
393,삼성,126.0,1,126.0
394,삿포로,321.0,1,321.0
395,상담,1000.0,1,1000.0
396,상사,580.0,1,580.0
397,상승,71.0,1,71.0
398,상우,193.0,1,193.0
399,상위,615.0,1,615.0
400,상태,773.0,1,773.0
401,새끼,442.0,1,442.0
402,새벽,200.0,1,200.0
403,새싹,136.0,1,136.0
404,새해,427.0,1,427.0
405,생리,2856.0,5,571.2
406,생애,10.0,1,10.0
407,생이,1000.0,1,1000.0
408,생일,1124.0,3,374.6666666666667
410,생활,7130.0,4,1782.5
411,샤워,3000.0,1,3000.0
412,서로,1000.0,1,1000.0
413,서비스,205.0,3,68.33333333333333
414,서식,730.0,1,730.0
415,서울,1829.0,4,457.25
416,서치,280.0,1,280.0
417,선물,13192.0,6,2198.6666666666665
419,선배,60000.0,1,60000.0
420,선집,356.0,1,356.0
421,설렁탕,289.0,1,289.0
422,설치,1000.0,1,1000.0
423,성교육,698.0,1,698.0
424,성균관,569.0,1,569.0
425,성빈,4000.0,1,4000.0
426,성웅,200.0,1,200.0
427,성형,179.0,1,179.0
428,세기,13.0,1,13.0
429,세끼,283.0,1,283.0
430,세대,399.0,1,399.0
431,세로,200.0,4,50.0
432,세미나,2000.0,1,2000.0
433,세상,2202.0,4,550.5
434,세수,2000.0,1,2000.0
435,세월,50000.0,1,50000.0
437,섹시,8848.0,3,2949.3333333333335
438,셀프,240.0,1,240.0
439,소개,10952.0,2,5476.0
440,소개팅,14094.0,5,2818.8
441,소녀,8000.0,1,8000.0
442,소년,726.0,1,726.0
443,소년단,10897.0,2,5448.5
444,소라,4000.0,1,4000.0
445,소름,200.0,1,200.0
446,소리,9746.0,3,3248.6666666666665
447,소심,182.0,1,182.0
448,소원,809.0,1,809.0
449,소주,280.0,1,280.0
450,소취,71.0,1,71.0
451,소희,84.0,1,84.0
452,속마음,10000.0,1,10000.0
453,솔라,10000.0,1,10000.0
454,솔로,1062.0,2,531.0
455,쇼핑,9476.0,11,861.4545454545455
